|--------------------------------------------------------------------------------------------------------|
|                                              Penguin#8607                                              |
|                                        Data Science with Daniel                                        |
|                                           851059417562742854                                           |
|--------------------------------------------------------------------------------------------------------|
|               User               |             Channel              |             Command              |
|--------------------------------------------------------------------------------------------------------|
|             Cerberus             |           development            |                hi                |
|             Cerberus             |           development            |                hi                |
|             siadubey             |             welcome              |        🐙 - Observer - ADD       |
|          Paulo Vinicius          |             welcome              |       🐍 - Developer - ADD       |
|          Paulo Vinicius          |             welcome              |        🐙 - Observer - ADD       |
|          kaythecyberguy          |             welcome              |       🐍 - Developer - ADD       |
|          kaythecyberguy          |             welcome              |        🐙 - Observer - ADD       |
|           Joyoti Mitra           |             welcome              |        🐙 - Observer - ADD       |
|             Cerberus             |           development            |                hi                |
|             Cerberus             |           development            |                hi                |
|             Nick lad             |             welcome              |        🐙 - Observer - ADD       |
